id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1102797,this is the door to vancouver UNW,981145,Dianne,,Downtown Eastside,49.27881,-123.08014,Private room,70,1,66,2019-09-15,1.13,4,0
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Arin,,Downtown,49.27865,-123.10722,Entire home/apt,350,3,245,2019-09-09,4.42,1,316
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29193,-123.1364,Entire home/apt,99,30,11,2019-03-23,0.16,48,0
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26056,-123.15874,Entire home/apt,479,6,34,2019-08-15,0.45,1,87
1115618,This is the door to Vancouver UNE,981145,Dianne,,Downtown Eastside,49.27864,-123.07854,Private room,70,1,54,2019-08-17,0.86,4,169
1118858,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28115,-123.13038,Private room,95,3,52,2019-09-12,0.68,3,337
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28061,-123.11874,Entire home/apt,99,30,1,2019-07-08,0.42,2,286
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27954,-123.08689,Entire home/apt,121,3,244,2019-08-22,3.16,1,270
1156898,seasonal suite with private bathroom in Vancouver,1344421,Jimmy,,Victoria-Fraserview,49.2283,-123.07126,Private room,36,3,86,2019-08-21,1.12,1,2
1162198,Bright & Tidy Character Apartment,6366260,Mary,,Grandview-Woodland,49.27186,-123.06996,Private room,49,30,72,2019-08-24,0.97,1,311
1171867,Live by the beach in Kits Point,1805803,Linda,,Kitsilano,49.27427,-123.14976,Entire home/apt,301,2,63,2019-06-15,0.85,2,0
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.27128,-123.04797,Entire home/apt,79,2,33,2019-09-09,2.30,1,157
1187929,Elegant Main floor House Vancouver,6495937,Janet,,Kensington-Cedar Cottage,49.24931,-123.0704,Entire home/apt,188,3,86,2019-09-05,1.15,1,115
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,,Kitsilano,49.26856,-123.17419,Entire home/apt,240,5,12,2019-06-09,0.18,2,43
1209195,Kriszta's Studio,6602654,Kriszta,,Grandview-Woodland,49.27244,-123.06493,Hotel room,99,2,295,2019-08-28,3.85,2,150
1213494,Beautiful new home in Mt. Pleasant,6624242,Jonathan And Marie,,Mount Pleasant,49.26198,-123.08556,Entire home/apt,250,5,15,2019-08-24,0.30,2,77
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26589,-123.0677,Entire home/apt,150,3,184,2019-09-01,2.44,1,308
1216428,"Garden Paradise, by Olympic Village",6637800,Edward,,Mount Pleasant,49.26538,-123.09059,Private room,75,3,52,2019-09-08,1.00,1,358
1223989,Stunning Suite Heart of DT w/Parkng,6677154,Amanda,,West End,49.27915,-123.12949,Entire home/apt,121,89,100,2017-05-17,1.32,1,123
1233101,Beautiful Vancouver Townhouse,3778731,Trevor,,Kitsilano,49.26658,-123.14956,Entire home/apt,185,31,2,2018-02-03,0.08,1,365
1269955,Downtown heritage 1 bdrm  apartment,6912044,Marten,,Downtown,49.28296,-123.12185,Entire home/apt,101,30,61,2019-08-31,0.80,1,119
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Cam,,Downtown,49.2858,-123.11767,Private room,150,1,370,2019-09-11,4.90,1,269
1281095,New and Cozy Flat in the Heart of Mount Pleasant,6971193,Monica & Thomas,,Mount Pleasant,49.26461,-123.09213,Entire home/apt,180,3,56,2019-09-14,0.74,1,123
